12	10	E	-6848986.133902876	50
probinit	1	1.0
emissionprobs	1	2	H3k27me3	1	0.004380891097320252
emissionprobs	1	3	H3k36me3	0	0.9994846167259162
emissionprobs	1	3	H3k36me3	1	5.15383274083852E-4
emissionprobs	1	4	H3k4me1	0	0.9997380957299161
emissionprobs	1	4	H3k4me1	1	2.6190427008390053E-4
emissionprobs	1	5	H3k4me2	0	0.9998427237621537
emissionprobs	1	5	H3k4me2	1	1.5727623784626322E-4
emissionprobs	1	6	H3k4me3	0	0.9998978733637026
emissionprobs	1	6	H3k4me3	1	1.0212663629750898E-4
emissionprobs	1	7	H3k79me2	0	0.9999888069273142
emissionprobs	1	7	H3k79me2	1	1.1193072685911944E-5
emissionprobs	1	8	H3k9ac	0	0.9998856634954844
emissionprobs	1	8	H3k9ac	1	1.1433650451559376E-4
emissionprobs	1	9	H3k9me1	0	0.9989114595004338
emissionprobs	1	9	H3k9me1	1	0.0010885404995662211
emissionprobs	2	0	H2az	0	0.9950800814945933
emissionprobs	2	0	H2az	1	0.004919918505406641
emissionprobs	2	1	H3k27ac	0	0.9985868726296325
emissionprobs	2	1	H3k27ac	1	0.0014131273703675321
emissionprobs	2	2	H3k27me3	0	0.630195727650824
emissionprobs	2	2	H3k27me3	1	0.3698042723491759
emissionprobs	2	3	H3k36me3	0	0.9995592737219181
emissionprobs	2	3	H3k36me3	1	4.4072627808193656E-4
emissionprobs	2	4	H3k4me1	0	0.9978533752530757
emissionprobs	2	4	H3k4me1	1	0.002146624746924339
emissionprobs	2	5	H3k4me2	0	0.9992633998493171
emissionprobs	2	5	H3k4me2	1	7.366001506828673E-4
emissionprobs	2	6	H3k4me3	0	0.9999152930905786
emissionprobs	2	6	H3k4me3	1	8.470690942130624E-5
emissionprobs	2	7	H3k79me2	0	0.9999173635277472
emissionprobs	2	7	H3k79me2	1	8.263647225289387E-5
emissionprobs	2	8	H3k9ac	0	0.9996700264079832
emissionprobs	2	8	H3k9ac	1	3.2997359201685894E-4
emissionprobs	2	9	H3k9me1	0	0.9970967707105743
emissionprobs	2	9	H3k9me1	1	0.0029032292894256495
emissionprobs	3	0	H2az	0	0.5873990342354123
emissionprobs	3	0	H2az	1	0.4126009657645877
emissionprobs	3	1	H3k27ac	0	0.9382829389029828
emissionprobs	3	1	H3k27ac	1	0.06171706109701722
emissionprobs	3	2	H3k27me3	0	0.1496578205269447
emissionprobs	3	2	H3k27me3	1	0.8503421794730553
emissionprobs	3	3	H3k36me3	0	0.6572521267580764
emissionprobs	3	3	H3k36me3	1	0.34274787324192363
emissionprobs	3	4	H3k4me1	0	0.7112591625994618
emissionprobs	3	4	H3k4me1	1	0.28874083740053824
emissionprobs	3	5	H3k4me2	0	0.5228445017975359
emissionprobs	3	5	H3k4me2	1	0.4771554982024641
emissionprobs	3	6	H3k4me3	0	0.581136224255441
emissionprobs	3	6	H3k4me3	1	0.418863775744559
emissionprobs	3	7	H3k79me2	0	0.9732824214624385
emissionprobs	3	7	H3k79me2	1	0.026717578537561446
emissionprobs	3	8	H3k9ac	0	0.9243779180199418
emissionprobs	3	8	H3k9ac	1	0.07562208198005814
emissionprobs	3	9	H3k9me1	0	0.7992630390290215
emissionprobs	3	9	H3k9me1	1	0.2007369609709784
emissionprobs	4	0	H2az	0	0.2700864385534787
emissionprobs	4	0	H2az	1	0.7299135614465213
