State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12
1	0.9927351008552894	0.003638658360624193	6.465576931512147E-6	0.0013776759752480068	1.5378548090557166E-5	2.128612102578134E-6	6.983981615184807E-5	0.0019212246630839062	0.0	0.0	1.7800244328574524E-4	5.552514919225227E-5
2	0.04847254914505187	0.9435132295915698	0.0031511661548301174	0.003945755990407483	0.0	0.0	0.0	9.097061295968745E-4	0.0	7.5929885438348116E-6	0.0	0.0
3	0.0029436058045294623	0.15681766084950408	0.6633277549497527	0.08867963951202494	0.004469717665441653	4.7824969128745144E-5	4.197683611951008E-4	0.0022263096825881922	0.0	1.7686335331687508E-4	0.0	0.08089085485251817
4	0.13622694142212485	0.03012347856823233	0.011829710090852841	0.6372034406895971	0.10844788485821946	0.0018374584425135427	0.003316313272610819	0.015659119738930354	8.441761367215891E-5	6.343335448912498E-4	0.054636901758355234	0.0
5	0.0012527629540231998	0.0	6.475113479727369E-4	0.1075545384188662	0.8235531870456764	0.009119097848169283	0.002119182887921766	0.003734332114163679	0.04603630428561634	0.0027481850803395816	0.0032348980172507793	0.0
6	4.175941737441957E-4	0.0	4.9382535096152286E-5	0.002393212573043302	0.012011681335357413	0.7420080212978756	0.19097781142130607	0.00924892373188087	0.04096576660898979	0.0	0.0019275881746082548	1.8148098486176993E-8
7	0.005312243713647501	0.0	0.0	0.002319655111591491	0.001559346728683082	0.10967811162844457	0.612476112882265	0.24524417745274096	0.006416475454177451	1.7016473113736085E-4	0.015530838445722702	0.0012928738515898515
8	0.07975181695626321	0.0027250450712256492	1.7574583570404033E-4	0.006971045772711912	0.0015040221158176517	0.002311864877065639	0.12703447189530584	0.5961259300517818	0.00466527944285282	0.0020913402810282984	0.16924841080039568	0.007395026899847391
9	0.0	0.0	0.0	2.6929078311230313E-5	0.03862571085437958	0.02409664573629089	0.007180087138377751	0.009965954501839866	0.7836815043666917	0.1324478563781924	6.873155415842575E-4	0.003287996404332458
10	0.0	0.0	1.1928545414161028E-5	6.521744068297761E-5	4.955742117282748E-4	0.0	3.631751609011223E-6	0.0012248761568384421	0.03144422570482703	0.9421641137086153	0.017774209890439183	0.00681622258984563
11	0.0011089456209263588	7.679540962158779E-5	0.0	0.0031314444863432944	2.074319625292368E-4	8.191516037089369E-5	0.0010951917155631234	0.02333312954201332	5.717203488936604E-5	0.004921149065423476	0.9595432975560746	0.006443527446244757
12	0.0010885676561575254	0.0	0.0024944316520484843	0.0	0.0	0.0	3.6747175117116316E-4	0.0033604939951078494	8.598350332841785E-4	0.006708725887182416	0.024224407017605382	0.960896067007443
